Ticker,Company
MSF.DE,Microsoft Corporation
NVD.DE,NVIDIA Corporation
APC.DE,Apple Inc.
AMZ.DE,"Amazon.com, Inc."
ABEA.DE,Alphabet Inc.
ABEC.DE,Alphabet Inc.
FB2A.DE,"Meta Platforms, Inc."
1YD.DE,Broadcom Inc.
BRYN.DE,Berkshire Hathaway Inc.
TL0.DE,"Tesla, Inc."
CMC.DE,JPMorgan Chase & Co.
WMT.DE,Walmart Inc.
LLY.DE,Eli Lilly and Company
3V64.DE,Visa Inc.
ORC.DE,Oracle Corporation
NFC.DE,"Netflix, Inc."
M4I.DE,Mastercard Incorporated
XONA.DE,Exxon Mobil Corporation
CTO.DE,Costco Wholesale Corporation
PRG.DE,The Procter & Gamble Company
JNJ.DE,Johnson & Johnson
HDI.DE,"The Home Depot, Inc."
NCB.DE,Bank of America Corporation
NOV.DE,Novo Nordisk A/S
SAP.DE,SAP SE
PTX.DE,Palantir Technologies Inc.
4AB.DE,AbbVie Inc.
CCC3.DE,The Coca-Cola Company
ASME.DE,ASML Holding N.V.
4I1.DE,Philip Morris International Inc.
UNH.DE,UnitedHealth Group Incorporated
AHLA.DE,Alibaba Group Holding Limited
HMI.DE,Hermès International Société en commandite par actions
CIS.DE,"Cisco Systems, Inc."
MOH.DE,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne"
NESR.DE,Nestlé S.A.
CHV.DE,Chevron Corporation
IBM.DE,International Business Machines Corporation
RHO.DE,Roche Holding AG
GCP.DE,General Electric Company
TM5.DE,"T-Mobile US, Inc."
FOO.DE,"Salesforce, Inc."
NWT.DE,Wells Fargo & Company
ABL.DE,Abbott Laboratories
NOT.DE,Novartis AG
LOR.DE,L'Oréal S.A.
ZEG.DE,AstraZeneca PLC
LIN.DE,Linde plc
R6C0.DE,Shell plc
DWD.DE,Morgan Stanley
WDP.DE,The Walt Disney Company
ITU.DE,Intuit Inc.
AEC1.DE,American Express Company
MDO.DE,McDonald's Corporation
AMD.DE,"Advanced Micro Devices, Inc."
4S0.DE,"ServiceNow, Inc."
HBC1.DE,HSBC Holdings plc
6MK.DE,"Merck & Co., Inc."
SOBA.DE,AT&T Inc.
5UR.DE,RTX Corporation
SIE.DE,Siemens Aktiengesellschaft
GOS.DE,"The Goldman Sachs Group, Inc."
IUI1.DE,"Intuitive Surgical, Inc."
TII.DE,Texas Instruments Incorporated
PEP.DE,"PepsiCo, Inc."
3CP.DE,Xiaomi Corporation
BAC.DE,Verizon Communications Inc.
UT8.DE,"Uber Technologies, Inc."
PCE1.DE,Booking Holdings Inc.
DTE.DE,Deutsche Telekom AG
QCI.DE,QUALCOMM Incorporated
CAT1.DE,Caterpillar Inc.
ADB.DE,Adobe Inc.
IXD1.DE,"Industria de Diseño Textil, S.A."
AMG.DE,Amgen Inc.
MHL.DE,S&P Global Inc.
UNVB.DE,Unilever PLC
UU2.DE,"BlackRock, Inc."
BSX.DE,Boston Scientific Corporation
ALV.DE,Allianz SE
BCO.DE,The Boeing Company
TN8.DE,Thermo Fisher Scientific Inc.
AIR.DE,Airbus SE
TRVC.DE,Citigroup Inc.
639.DE,Spotify Technology S.A.
ALD.DE,Honeywell International Inc.
DCO.DE,Deere & Company
TOTB.DE,TotalEnergies SE
1NBA.DE,Anheuser-Busch InBev SA/NV
DAP.DE,Danaher Corporation
AP2.DE,"Applied Materials, Inc."
SND.DE,Schneider Electric S.E.
TJX.DE,"The TJX Companies, Inc."
MTE.DE,"Micron Technology, Inc."
PFE.DE,Pfizer Inc.
GIS.DE,"Gilead Sciences, Inc."
5AP.DE,"Palo Alto Networks, Inc."
UNP.DE,Union Pacific Corporation
CTP2.DE,Comcast Corporation
ESL.DE,EssilorLuxottica Société anonyme
SEJ1.DE,Safran SA
MLB1.DE,"MercadoLibre, Inc."
1TY.DE,Prosus N.V.
AIL.DE,L'Air Liquide S.A.
YCP.DE,ConocoPhillips
LAR0.DE,Lam Research Corporation
IBE1.DE,"Iberdrola, S.A."
SNW.DE,Sanofi
BSD2.DE,"Banco Santander, S.A."
KLA.DE,KLA Corporation
VX1.DE,Vertex Pharmaceuticals Incorporated
2M6.DE,Medtronic plc
LOM.DE,Lockheed Martin Corporation
BMT.DE,British American Tobacco p.l.c.
ABJ.DE,ABB Ltd
SRB.DE,Starbucks Corporation
AXA.DE,AXA SA
PHM7.DE,"Altria Group, Inc."
CRIN.DE,UniCredit S.p.A.
IES.DE,Intesa Sanpaolo S.p.A.
RDEB.DE,RELX PLC
ZFIN.DE,Zurich Insurance Group AG
BNP.DE,BNP Paribas SA
BRM.DE,Bristol-Myers Squibb Company
RIO1.DE,Rio Tinto Group
UWS.DE,"Waste Management, Inc."
INL.DE,Intel Corporation
